record_id,native-country,sex,race,age,is_member
22542,United-States,Male,White,42,0
17315,United-States,Male,White,57,1
6008,United-States,Male,White,51,1
2953,United-States,Male,Black,34,1
16496,United-States,Male,White,51,0
23146,United-States,Female,White,28,0
15753,United-States,Male,White,38,1
10690,United-States,Female,White,44,0
14587,United-States,Female,White,33,0
22613,United-States,Male,White,39,0
31900,United-States,Male,White,37,0
15370,United-States,Male,White,39,0
6187,United-States,Male,Black,33,0
20455,Mexico,Male,White,25,1
1385,United-States,Male,White,45,0
12147,United-States,Male,White,17,1
5342,United-States,Male,White,28,1
11149,United-States,Male,White,42,1
15782,United-States,Female,White,18,0
8023,United-States,Male,Black,42,0
22924,United-States,Male,White,39,1
18498,United-States,Female,Black,62,1
7576,United-States,Female,White,40,0
30330,United-States,Male,White,28,0
3122,United-States,Female,White,26,0
26230,United-States,Male,White,54,1
26372,Peru,Male,White,41,1
15382,United-States,Male,White,51,0
8864,United-States,Male,White,33,1
6179,United-States,Male,White,58,0
22795,United-States,Male,White,25,1
25521,United-States,Male,White,34,1
30410,United-States,Male,White,64,1
12272,United-States,Female,White,41,1
23951,United-States,Male,White,29,0
30378,United-States,Female,Black,22,1
16735,United-States,Female,White,17,0
18718,United-States,Male,White,40,1
18839,Hungary,Male,White,66,0
12445,United-States,Male,White,46,1
11808,United-States,Female,White,46,0
21479,United-States,Male,White,29,1
14220,United-States,Male,White,41,1
14194,China,Male,Asian-Pac-Islander,34,0
20210,United-States,Male,White,43,0
3411,United-States,Female,Black,35,1
31577,United-States,Female,Black,66,1
10773,United-States,Female,White,49,1
22955,United-States,Male,White,56,0
25750,United-States,Male,Black,53,1
11142,United-States,Male,White,36,0
10387,United-States,Male,White,42,0
22842,United-States,Female,Black,25,0
17213,United-States,Male,White,58,0
27914,Italy,Male,White,38,0
6230,United-States,Male,White,31,1
17362,United-States,Male,White,30,1
10814,United-States,Male,White,44,1
11315,Philippines,Male,Asian-Pac-Islander,66,0
17114,United-States,Female,White,40,1
31733,United-States,Male,White,41,0
2019,United-States,Male,White,23,1
30138,United-States,Male,White,36,1
15483,United-States,Female,Black,39,0
9668,United-States,Male,White,31,1
1441,United-States,Male,White,61,0
9188,United-States,Male,White,28,0
12092,United-States,Male,White,52,0
30933,United-States,Female,White,25,1
17681,United-States,Male,White,22,0
27232,United-States,Male,White,44,1
9831,United-States,Male,White,67,0
3280,United-States,Male,White,27,1
13729,United-States,Male,White,39,0
4038,United-States,Male,White,35,1
25693,United-States,Female,White,49,1
4884,United-States,Female,White,26,0
16115,United-States,Male,White,28,1
3813,United-States,Female,White,46,0
14000,United-States,Male,White,54,1
4273,United-States,Female,White,72,0
11948,United-States,Female,White,25,1
31739,United-States,Female,White,36,0
13182,United-States,Male,White,62,1
18781,United-States,Male,White,47,0
13112,United-States,Male,White,60,1
29714,United-States,Female,Black,26,0
24976,United-States,Male,White,25,1
26195,United-States,Male,White,48,1
18945,United-States,Female,White,20,1
10806,United-States,Male,White,46,1
9285,United-States,Male,White,54,0
15937,United-States,Male,Black,34,1
16201,United-States,Male,White,51,0
26268,United-States,Female,White,37,0
25869,United-States,Female,White,35,1
5477,United-States,Male,White,19,0
17854,Iran,Male,White,36,0
16608,United-States,Male,White,39,1
9779,Haiti,Female,Black,42,0
25179,United-States,Male,White,24,1
16991,United-States,Female,White,37,1
23712,United-States,Male,White,56,1
1616,United-States,Male,White,46,0
28747,United-States,Male,White,34,0
29604,United-States,Male,White,30,0
5472,United-States,Male,White,23,0
20141,United-States,Male,White,26,1
20060,United-States,Female,White,25,0
15944,United-States,Male,White,60,1
4902,United-States,Male,White,47,0
30613,United-States,Female,White,18,1
19139,United-States,Male,White,36,0
8966,United-States,Male,White,43,0
11762,United-States,Female,White,50,0
17637,United-States,Female,White,23,1
16405,United-States,Male,White,32,1
16703,United-States,Male,White,30,0
5078,United-States,Male,White,39,1
29292,United-States,Male,White,54,1
14401,South,Female,Asian-Pac-Islander,37,0
32319,United-States,Female,White,54,1
27129,United-States,Male,White,24,1
17568,China,Female,Asian-Pac-Islander,52,1
2001,United-States,Female,White,28,0
27385,Mexico,Male,White,42,0
6437,United-States,Male,White,17,1
8265,United-States,Female,White,24,1
27696,United-States,Male,White,26,1
102,United-States,Female,White,47,1
29765,United-States,Male,White,29,1
14244,United-States,Male,White,41,0
4235,United-States,Male,White,26,0
5777,United-States,Male,White,26,0
5216,United-States,Male,White,28,0
2622,United-States,Male,Amer-Indian-Eskimo,42,0
31128,?,Male,White,56,0
16056,United-States,Female,White,37,1
3115,Poland,Male,White,35,0
31121,United-States,Male,White,35,1
29383,United-States,Male,White,46,0
21071,United-States,Female,Black,26,1
15938,United-States,Male,White,53,1
23895,United-States,Male,White,28,1
31528,United-States,Male,White,54,1
4425,Canada,Male,White,29,1
13818,United-States,Female,Black,52,0
30099,United-States,Male,White,57,0
22115,United-States,Female,White,43,1
11682,United-States,Female,White,56,0
22304,United-States,Female,White,32,0
22184,United-States,Male,White,34,0
23053,United-States,Female,White,56,1
1330,United-States,Male,White,25,0
18713,United-States,Male,Black,30,0
20757,United-States,Male,White,17,1
31903,United-States,Male,White,35,0
12641,United-States,Male,White,29,1
26430,Mexico,Female,White,28,1
28040,United-States,Male,White,61,0
7507,South,Male,Asian-Pac-Islander,29,1
21161,Germany,Male,White,29,1
23504,United-States,Male,White,31,0
14654,United-States,Male,White,33,0
15004,United-States,Male,White,36,0
16715,United-States,Male,White,41,1
345,United-States,Male,White,43,0
14070,United-States,Female,White,60,1
19126,United-States,Male,White,60,0
8010,United-States,Male,White,41,0
1278,United-States,Male,White,47,0
3131,?,Male,Black,25,1
14160,United-States,Female,White,27,0
5346,Germany,Male,White,20,1
19059,Scotland,Female,White,53,1
34,United-States,Male,Black,22,1
15481,United-States,Female,White,41,0
2633,United-States,Male,White,55,1
25800,United-States,Male,White,54,0
13846,United-States,Female,White,45,1
30661,United-States,Male,White,57,0
4488,Canada,Female,White,25,1
7750,United-States,Male,White,23,1
10933,United-States,Male,White,41,0
4261,United-States,Male,White,26,1
28932,?,Male,White,25,1
9633,United-States,Male,White,62,0
8574,United-States,Male,White,28,0
17933,Mexico,Male,White,38,0
17896,United-States,Female,White,55,1
18958,United-States,Female,White,52,1
9778,United-States,Male,White,67,0
20547,United-States,Male,Other,33,0
22952,Mexico,Male,White,35,1
17276,United-States,Male,White,21,1
23913,United-States,Male,White,44,0
8988,United-States,Male,White,32,1
14700,United-States,Male,White,35,1
18253,United-States,Male,White,22,0
1786,United-States,Female,White,35,0
4659,United-States,Male,White,38,0
30838,United-States,Male,White,31,1
1043,United-States,Male,White,44,0
10906,United-States,Male,White,32,0
8537,United-States,Female,White,32,1
6394,United-States,Female,White,34,1
18027,United-States,Female,White,64,1
29137,Scotland,Male,White,29,0
12022,United-States,Male,White,37,0
4547,United-States,Male,White,37,0
23458,United-States,Female,Asian-Pac-Islander,24,0
11125,United-States,Female,White,42,0
30751,United-States,Male,White,27,0
10269,United-States,Male,Amer-Indian-Eskimo,40,0
6964,India,Male,Asian-Pac-Islander,29,1
22833,United-States,Male,White,32,1
6347,United-States,Female,White,24,1
25459,United-States,Male,White,37,1
5687,United-States,Male,White,71,0
1207,United-States,Male,White,38,1
24771,United-States,Male,Black,27,1
21512,United-States,Male,White,32,0
7109,United-States,Female,White,34,0
28203,United-States,Male,White,33,1
7220,United-States,Female,White,27,0
2162,United-States,Male,White,17,1
13887,Nicaragua,Male,White,28,0
28113,United-States,Female,Black,21,1
12665,United-States,Male,White,37,1
16332,United-States,Male,White,28,0
24261,United-States,Male,White,38,0
8865,United-States,Female,White,47,0
14366,United-States,Male,White,42,0
18023,United-States,Male,White,63,1
10007,United-States,Female,Black,27,0
19394,United-States,Male,White,58,1
6268,United-States,Male,White,21,0
24797,Mexico,Male,White,36,0
6422,Puerto-Rico,Female,White,44,0
13155,United-States,Female,White,17,0
25232,United-States,Male,White,23,1
48,United-States,Male,White,41,1
20973,United-States,Male,White,21,1
10689,United-States,Male,White,25,0
13310,United-States,Male,White,46,1
20666,United-States,Male,White,38,1
26357,United-States,Female,Black,23,1
473,United-States,Male,White,30,1
1451,United-States,Male,Black,60,1
19953,United-States,Male,White,29,1
266,Canada,Male,White,19,0
23823,United-States,Female,White,41,1
14359,United-States,Male,White,38,0
4489,United-States,Male,White,28,1
4285,United-States,Male,White,59,0
21357,United-States,Male,White,41,1
8969,United-States,Male,White,24,1
18797,United-States,Male,White,46,1
26739,United-States,Female,White,43,1
28395,Puerto-Rico,Male,Black,36,0
25211,United-States,Male,White,42,0
30419,United-States,Female,White,23,1
29243,United-States,Male,White,30,1
7745,United-States,Male,White,33,1
22954,Cuba,Female,White,34,0
14835,United-States,Male,White,44,0
7255,United-States,Male,White,35,1
21694,United-States,Female,White,19,0
8422,United-States,Male,White,40,1
24038,United-States,Male,White,28,1
18511,United-States,Female,White,33,1
29864,United-States,Male,Amer-Indian-Eskimo,40,0
21135,United-States,Male,White,69,0
4579,United-States,Female,White,43,0
8734,Puerto-Rico,Male,Other,31,1
29268,United-States,Male,White,26,1
14426,United-States,Male,White,67,1
29701,United-States,Male,White,36,1
7571,United-States,Male,White,51,0
11798,United-States,Male,White,59,0
7481,United-States,Male,White,83,0
22822,United-States,Male,White,20,0
15685,United-States,Female,White,21,0
26170,United-States,Male,White,47,1
19449,United-States,Male,White,37,1
29363,United-States,Male,White,46,0
17592,United-States,Female,White,55,1
29163,United-States,Female,White,51,1
2069,United-States,Male,White,34,1
16263,United-States,Male,White,40,1
15973,United-States,Male,White,36,1
25958,United-States,Female,White,57,1
26662,United-States,Male,White,18,0
26639,United-States,Male,White,35,0
6156,United-States,Male,White,20,0
11988,?,Female,White,50,0
7107,United-States,Female,White,33,0
29266,United-States,Male,White,52,0
6624,United-States,Male,White,90,1
23582,United-States,Male,White,30,0
8943,United-States,Female,Other,22,0
18859,United-States,Female,White,36,0
23956,United-States,Male,White,59,0
23919,United-States,Female,White,46,0
31587,United-States,Female,White,29,1
16503,United-States,Female,White,21,1
17409,United-States,Female,White,36,0
32027,United-States,Female,White,46,0
5604,Philippines,Male,White,23,0
7434,United-States,Female,Black,33,1
18273,United-States,Male,White,23,0
10425,United-States,Male,Black,60,1
8354,United-States,Male,White,35,1
20022,United-States,Female,Black,21,1
30554,United-States,Female,White,22,0
12158,United-States,Male,White,41,1
19740,United-States,Male,Amer-Indian-Eskimo,37,0
26949,United-States,Male,White,26,0
19836,United-States,Female,White,34,1
8051,United-States,Male,White,38,1
17708,Mexico,Female,White,46,0
5310,United-States,Female,White,40,1
19286,United-States,Male,White,32,1
16485,United-States,Male,White,38,0
1455,United-States,Female,Black,56,1
13613,United-States,Male,White,43,0
29024,United-States,Female,White,29,0
17978,United-States,Male,White,18,0
19635,United-States,Male,White,37,0
20055,United-States,Male,White,50,0
752,United-States,Male,White,58,1
10809,Mexico,Male,White,25,0
12902,United-States,Female,White,25,0
21668,?,Male,Black,42,1
5689,United-States,Female,White,32,1
35,Puerto-Rico,Male,White,48,1
10537,United-States,Male,White,20,1
16032,United-States,Male,White,37,1
11910,United-States,Male,White,28,1
25248,United-States,Female,Asian-Pac-Islander,45,1
6632,United-States,Female,White,46,0
24680,United-States,Female,Black,43,0
369,United-States,Female,White,39,0
31395,United-States,Female,White,55,1
9099,United-States,Male,White,21,0
9575,United-States,Female,White,24,0
16904,United-States,Female,White,48,0
472,United-States,Male,White,35,1
4751,United-States,Male,White,23,0
12462,United-States,Male,White,44,1
21237,United-States,Female,White,37,0
17121,United-States,Male,White,54,1
29415,United-States,Male,White,42,1
15259,Hungary,Female,White,60,0
13250,United-States,Female,White,24,1
6925,United-States,Male,White,45,0
24453,United-States,Male,White,40,1
9254,United-States,Male,White,58,0
1636,United-States,Female,White,27,1
27884,United-States,Male,White,35,1
5520,United-States,Female,Black,25,1
3930,United-States,Female,White,20,1
12748,?,Male,White,55,1
9373,United-States,Male,White,40,1
12228,United-States,Male,White,40,1
873,China,Male,Asian-Pac-Islander,51,0
24371,United-States,Male,White,54,1
27081,United-States,Male,White,62,0
928,United-States,Female,White,22,0
24513,United-States,Male,White,32,1
22595,United-States,Male,Black,50,0
28538,United-States,Female,White,50,1
20728,United-States,Male,White,37,0
6732,United-States,Female,Black,31,1
4220,United-States,Female,White,25,0
27627,United-States,Male,White,48,1
13899,Canada,Female,White,43,0
7545,United-States,Male,White,31,1
31827,United-States,Male,White,46,1
18536,Puerto-Rico,Male,Other,53,0
6271,United-States,Female,Black,20,0
20526,United-States,Female,White,26,0
2554,United-States,Male,White,36,0
11208,United-States,Male,White,29,1
11408,United-States,Male,White,41,1
24006,Taiwan,Female,Asian-Pac-Islander,29,0
4890,United-States,Male,White,51,0
7997,United-States,Female,White,35,0
13337,United-States,Female,White,30,1
26986,United-States,Male,White,20,1
19301,United-States,Female,White,30,1
2507,United-States,Male,White,59,0
1456,United-States,Male,White,25,0
5464,United-States,Female,Amer-Indian-Eskimo,47,0
23858,United-States,Male,White,41,0
9049,United-States,Female,Black,55,1
24001,United-States,Male,White,23,0
23905,United-States,Male,Black,26,1
3745,United-States,Male,White,25,0
19338,United-States,Female,White,18,1
